date,EW_return
2001-01-01,0.21023394459306843
2001-02-01,-0.10461941239371911
2001-03-01,-0.08591279642013626
2001-04-01,0.14613221632878884
2001-05-01,0.020134079382477306
2001-06-01,0.008704269733513934
2001-07-01,-0.0321104463819492
2001-08-01,-0.057400253949701247
2001-09-01,-0.14938739890403777
2001-10-01,0.10899431604022533
2001-11-01,0.0837185768132106
2001-12-01,0.07209018114895599
2002-01-01,-0.02081565420440695
2002-02-01,-0.034018796748634554
2002-03-01,0.062163857348986426
2002-04-01,-0.019369044726213844
2002-05-01,-0.0486069002551912
2002-06-01,-0.05326345315623794
2002-07-01,-0.10216818562565377
2002-08-01,0.018765605032147484
2002-09-01,-0.06152457782600912
2002-10-01,0.029594639430445956
2002-11-01,0.07727587318005871
2002-12-01,-0.05762129089044355
2003-01-01,-0.05791340566891905
2003-02-01,-0.02853567977287116
2003-03-01,0.014742611456621342
2003-04-01,0.09142460536774619
2003-05-01,0.10710940878855046
2003-06-01,0.01172504788291078
2003-07-01,0.04329145030381179
2003-08-01,0.057366905489030035
2003-09-01,-0.0345833836612008
2003-10-01,0.05574988706266765
2003-11-01,0.013788383270141175
2003-12-01,0.015191576819059019
2004-01-01,0.028660429082589842
2004-02-01,0.013178616819744082
2004-03-01,-0.012577386688744191
2004-04-01,-0.041630084373683034
2004-05-01,0.0053467713619981
2004-06-01,0.02868823557750717
2004-07-01,-0.04612413288137979
2004-08-01,-0.010156482140457083
2004-09-01,0.03323552799778248
2004-10-01,0.00278084130814923
2004-11-01,0.06934507067849718
2004-12-01,0.020308496007593574
2005-01-01,-0.020328483194986313
2005-02-01,0.012275042166019426
2005-03-01,-0.027902184122722676
2005-04-01,-0.045640720603679144
2005-05-01,0.05173605917582161
2005-06-01,0.01661400263747687
2005-07-01,0.050998071288555345
2005-08-01,-0.017121583965136748
2005-09-01,0.0020001189464034035
2005-10-01,-0.03228391683012419
2005-11-01,0.046813665797660595
2005-12-01,-0.015064479507832886
2006-01-01,0.04556080059365808
2006-02-01,-0.0053345236824475445
2006-03-01,0.017082656556751046
2006-04-01,0.008394490607972123
2006-05-01,-0.03835269974242262
2006-06-01,-0.021388486223443984
2006-07-01,-0.03855433803606828
2006-08-01,0.03630137836279976
2006-09-01,0.009280142515121248
2006-10-01,0.05339564335308573
2006-11-01,0.042485223412629
2006-12-01,0.005391389278055947
2007-01-01,0.02167642567723433
2007-02-01,-0.011790557332015443
2007-03-01,0.010489876541399618
2007-04-01,0.024932169160238358
2007-05-01,0.03639303913901712
2007-06-01,-0.02405907386531294
2007-07-01,-0.06314776848162683
2007-08-01,0.003813703974563923
2007-09-01,0.007182769490833969
2007-10-01,0.00022936745417739216
2007-11-01,-0.033550459984065015
2007-12-01,-0.004740768040605878
2008-01-01,-0.03849664328525768
2008-02-01,-0.05768157095497364
2008-03-01,-0.00978903040878886
2008-04-01,0.010788662791188878
2008-05-01,0.01853491472014039
2008-06-01,-0.096867267985843
2008-07-01,0.00930144486366848
2008-08-01,0.03170095671018386
2008-09-01,-0.10258876628762668
2008-10-01,-0.21390527487180971
2008-11-01,-0.11947729172421326
2008-12-01,0.19053348641019757
2009-01-01,-0.1136508854969593
2009-02-01,-0.12265356411777953
2009-03-01,0.1936421893234379
2009-04-01,0.19155020843918852
2009-05-01,0.05260269316421696
2009-06-01,-0.030596177065614735
2009-07-01,0.07951291101294863
2009-08-01,0.015225002460038967
2009-09-01,0.08643451521041465
2009-10-01,-0.027004000411234637
2009-11-01,0.0345823272680325
2009-12-01,0.05189644242760514
2010-01-01,-0.051595835592341995
2010-02-01,0.025215216631547962
2010-03-01,0.05508030989362436
2010-04-01,0.034306883387570306
2010-05-01,-0.09128795008477363
2010-06-01,-0.04255569792968233
2010-07-01,0.07478868603213643
2010-08-01,-0.07995183670685968
2010-09-01,0.079443905732312
2010-10-01,0.029939554345559765
2010-11-01,0.030072064755371376
2010-12-01,0.05427297366503344
2011-01-01,-0.0045813850806182
2011-02-01,0.02609159436618893
2011-03-01,0.036770177445763684
2011-04-01,0.020595636420718808
2011-05-01,-0.00943550897964053
2011-06-01,0.00634154180252601
2011-07-01,-0.05579033537601882
2011-08-01,-0.07698472312150552
2011-09-01,-0.09032202083429061
2011-10-01,0.21093829465113337
2011-11-01,0.02797511967739664
2011-12-01,0.0012870293504358417
2012-01-01,0.053273922046422346
2012-02-01,0.018298395010286576
2012-03-01,0.012146661825071906
2012-04-01,-0.025276546990563312
2012-05-01,-0.07742290525847584
2012-06-01,0.07168188273210893
2012-07-01,-0.018230288308228648
2012-08-01,0.04613171432764722
2012-09-01,0.02299148983703335
2012-10-01,-0.019562643211960835
2012-11-01,-0.0031905280284000408
2012-12-01,0.03153361752760126
2013-01-01,0.036182263347204056
2013-02-01,0.0006074100992845355
2013-03-01,0.04143855611606527
2013-04-01,0.011252775726216281
2013-05-01,0.06333906576095986
2013-06-01,-0.011157571783874474
2013-07-01,0.05333220194646329
2013-08-01,-0.04492115202858836
2013-09-01,0.048457273188107136
2013-10-01,0.01729965063358169
2013-11-01,0.03325989698427499
2013-12-01,0.032472083482082484
2014-01-01,-0.020097430455879018
2014-02-01,0.08071959569665212
2014-03-01,0.005545677643847051
2014-04-01,-0.0356578767292615
2014-05-01,0.008999970527995123
2014-06-01,0.04802874182318199
2014-07-01,-0.05899785931697711
2014-08-01,0.05236480216031141
2014-09-01,-0.05071802241497288
2014-10-01,0.05562288562196749
2014-11-01,0.008998559239404048
2014-12-01,0.02570392594093072
2015-01-01,-0.03786774742803371
2015-02-01,0.05834697436700248
2015-03-01,-0.003953192799178136
2015-04-01,-0.0019796234509050813
2015-05-01,0.0018520988640206974
2015-06-01,-0.00926838992251388
2015-07-01,-0.012667874589891518
2015-08-01,-0.053770206858573144
2015-09-01,-0.029363039113231792
2015-10-01,0.06440847940693001
2015-11-01,0.003717208007527889
2015-12-01,-0.052860711422485135
2016-01-01,-0.0755134688727148
2016-02-01,0.009916026725266265
2016-03-01,0.0656417167328886
2016-04-01,0.0252989344371956
2016-05-01,0.006394413646844876
2016-06-01,-0.015018543156224095
2016-07-01,0.04827361122742024
2016-08-01,0.01434711024105578
2016-09-01,0.007842716853591485
2016-10-01,-0.03773095310652429
2016-11-01,0.10200880451899129
2016-12-01,0.019545275842439404
2017-01-01,0.005294438938277758
2017-02-01,0.023296951433902046
2017-03-01,-0.01703166865498648
2017-04-01,0.01846950018153078
2017-05-01,-0.01561753096804859
2017-06-01,0.007780871235332198
2017-07-01,0.004250160365029945
2017-08-01,-0.014016184372134316
2017-09-01,0.04534244825313506
2017-10-01,-0.001519638799049664
2017-11-01,0.03573024272781807
2017-12-01,0.009318711461265257
2018-01-01,0.022521914329028628
2018-02-01,-0.04134796744484366
2018-03-01,0.007136350367631844
2018-04-01,0.02821858358567156
2018-05-01,0.03864428729124945
2018-06-01,-0.00010660483622392496
2018-07-01,0.0147833399558132
2018-08-01,0.03909662325062385
2018-09-01,-0.01559494183744813
2018-10-01,-0.09377763305942124
2018-11-01,-0.005513308091628942
2018-12-01,-0.12647085349427914
2019-01-01,0.10701300495347352
2019-02-01,0.043771197943052474
2019-03-01,-0.023131247826363083
2019-04-01,0.022653205257945515
2019-05-01,-0.07698737243029208
2019-06-01,0.07097385480978166
2019-07-01,-0.0005438261924980898
2019-08-01,-0.03658229722965801
2019-09-01,0.037284592696244845
2019-10-01,0.03537947725537242
2019-11-01,0.028142077174307754
2019-12-01,0.04434307620899245
2020-01-01,-0.03517085177602523
2020-02-01,-0.10064817274386866
2020-03-01,-0.24391033564191608
2020-04-01,0.2729312551658953
2020-05-01,0.10851837698814665
2020-06-01,0.01655180340666334
2020-07-01,0.038932973451067
2020-08-01,0.03683277244771345
2020-09-01,-0.042780249613661975
2020-10-01,0.00716239044249765
2020-11-01,0.1558149173209703
2020-12-01,0.06175239371180151
2021-01-01,0.043670098338822266
2021-02-01,0.04698769383250441
2021-03-01,-0.004905834828960702
2021-04-01,0.012965833274703898
2021-05-01,-0.0022727840515912733
2021-06-01,0.004010606572536982
2021-07-01,-0.03896194472818045
2021-08-01,0.021037733861762248
2021-09-01,-0.03925204474327179
2021-10-01,0.0221434471874934
2021-11-01,-0.06761356966165508
2021-12-01,0.04611743972046016
2022-01-01,-0.10081565059531467
2022-02-01,-0.013641273329043097
2022-03-01,0.02608616962299507
2022-04-01,-0.11559562162627127
2022-05-01,-0.02530334993534589
2022-06-01,-0.0664373253509805
2022-07-01,0.08786027000914051
2022-08-01,-0.019092077517858817
2022-09-01,-0.09129774315889175
2022-10-01,0.06830645916809219
2022-11-01,0.022833118835827722
2022-12-01,-0.06525226337205876
2023-01-01,0.11783494124795775
2023-02-01,-0.04657175272053452
2023-03-01,-0.04335642935932557
2023-04-01,-0.023994523870771136
2023-05-01,-0.011063302606398802
2023-06-01,0.06955196020712312
2023-07-01,0.04770557098233078
2023-08-01,-0.0435842354049437
2023-09-01,-0.07208582074225206
2023-10-01,-0.05472543289413
2023-11-01,0.09161908143238946
2023-12-01,0.083084650759941
2024-01-01,-0.030441574696436616
2024-02-01,0.035212234336137384
2024-03-01,0.02372279920303342
2024-04-01,-0.06123514245731411
2024-05-01,0.03689191718853986
2024-06-01,-0.013687180889768023
2024-07-01,0.08558446511373045
2024-08-01,0.02012332470002478
2024-09-01,0.03988975695343903
2024-10-01,0.005670144124644653
2024-11-01,0.09341619048179577
2024-12-01,-0.07555575651075058
